2024-06-22 02:36:17.305,12.025,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.405,12.125,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.505,12.225,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.605,12.325,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.705,12.425,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.805,12.525,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:17.905,12.625,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.005,12.725,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.105,12.825,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.205,12.925,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.305,13.025,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.405,13.125,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.505,13.225,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.605,13.325,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.705,13.425,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.805,13.525,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:18.905,13.625,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:19.005,13.725,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:19.105,13.825,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:19.205,13.925,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:19.305,14.025,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:19.405,14.125,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:19.505,14.225,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:19.605,14.325,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:19.705,14.425,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:19.805,14.525,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:19.905,14.625,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.005,14.725,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.105,14.825,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.205,14.925,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.305,15.025,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.405,15.125,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.506,15.226,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.605,15.325,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.705,15.425,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.805,15.525,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:20.905,15.625,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.005,15.725,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.105,15.825,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.205,15.925,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.305,16.025,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.405,16.125,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.505,16.225,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.605,16.325,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.705,16.425,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.805,16.525,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:21.905,16.625,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.005,16.725,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.105,16.825,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.205,16.925,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.306,17.026,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.405,17.125,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.505,17.225,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.605,17.325,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.705,17.425,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.805,17.525,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:22.905,17.625,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:23.005,17.725,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
2024-06-22 02:36:23.105,17.825,,1.535175,14.994123,0.000000,-0.000042,6960.937500,0.000000,0.002183,1.000000,-1.110148,3.000000,109.134661,2.114829,1.000000
