Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,AN 0BAR, CA 0BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-20 08:19:20,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-20 08:19:29.305,9.200,,0.903800,0.000191,0.000190,-3.977190,0.920044,-0.079544
2024-06-20 08:19:29.405,9.300,,0.899050,0.000381,0.000190,-3.976878,0.915076,-0.079538
2024-06-20 08:19:29.505,9.400,,0.894310,0.000191,0.000000,-3.986336,0.909994,-0.079538
2024-06-20 08:19:29.605,9.500,,0.889570,0.000191,0.000381,-3.970861,0.905075,-0.079417
2024-06-20 08:19:29.705,9.600,,0.883880,0.000381,0.000000,-3.961212,0.900070,-0.079224
2024-06-20 08:19:29.805,9.700,,0.879140,0.000000,0.000190,-3.947868,0.895107,-0.079224
2024-06-20 08:19:29.905,9.800,,0.879140,0.000191,0.000190,-3.962705,0.890107,-0.079254
2024-06-20 08:19:30.005,9.900,,0.873450,0.000000,0.000190,-3.924388,0.885017,-0.078488
2024-06-20 08:19:30.105,10.000,,0.868710,0.000191,0.000190,-3.951211,0.880086,-0.078488
2024-06-20 08:19:30.205,10.100,,0.859220,0.000191,0.000381,-3.975877,0.875096,-0.079518
2024-06-20 08:19:30.305,10.200,,0.854480,0.000000,0.000190,-4.009221,0.870031,-0.080184
2024-06-20 08:19:30.405,10.300,,0.848790,0.000191,0.000190,-4.019993,0.865064,-0.080184
2024-06-20 08:19:30.505,10.400,,0.844050,0.000000,0.000381,-4.051861,0.860064,-0.081037
2024-06-20 08:19:30.605,10.500,,0.839310,0.000191,0.000190,-4.080053,0.850059,-0.082041
2024-06-20 08:19:30.705,10.600,,0.834560,0.000000,0.000381,-4.080053,0.850059,-0.081601
2024-06-20 08:19:30.805,10.700,,0.828870,0.000191,0.000190,-4.116777,0.845044,-0.082336
2024-06-20 08:19:30.905,10.800,,0.824130,0.000000,0.000190,-4.129906,0.840084,-0.082336
2024-06-20 08:19:31.005,10.900,,0.818440,0.000000,0.000000,-4.166029,0.835097,-0.083321
2024-06-20 08:19:31.105,11.000,,0.813700,0.000191,0.000000,-4.175597,0.830077,-0.083512
2024-06-20 08:19:31.205,11.100,,0.808960,0.000191,0.000000,-4.215939,0.825078,-0.083512
2024-06-20 08:19:31.305,11.200,,0.804220,0.000000,0.000381,-4.217908,0.820058,-0.084358
2024-06-20 08:19:31.405,11.300,,0.799470,0.000191,0.000190,-4.174474,0.815085,-0.083489
2024-06-20 08:19:31.505,11.400,,0.793780,0.000000,0.000190,-4.189852,0.810035,-0.083489
2024-06-20 08:19:31.605,11.500,,0.789040,0.000191,0.000000,-4.157632,0.805052,-0.083153
2024-06-20 08:19:31.705,11.600,,0.784300,0.000000,0.000190,-4.078573,0.795055,-0.083019
2024-06-20 08:19:31.805,11.700,,0.779560,0.000191,0.000190,-4.078573,0.795055,-0.081571
2024-06-20 08:19:31.905,11.800,,0.773870,0.000191,0.000381,-4.064710,0.790064,-0.081294
2024-06-20 08:19:32.005,11.900,,0.769130,0.000191,0.000190,-3.949007,0.780076,-0.081079
2024-06-20 08:19:32.105,12.000,,0.764390,0.000000,0.000190,-3.949007,0.780076,-0.078980
2024-06-20 08:19:32.205,12.100,,0.758700,0.000000,-0.000190,-3.875691,0.775077,-0.077514
2024-06-20 08:19:32.305,12.200,,0.753950,0.000191,0.000190,-3.848789,0.770052,-0.076976
2024-06-20 08:19:32.405,12.300,,0.749210,0.000191,0.000190,-3.772068,0.764976,-0.075441
2024-06-20 08:19:32.505,12.400,,0.744470,0.000191,0.000381,-3.748114,0.759984,-0.074962
2024-06-20 08:19:32.605,12.500,,0.739730,0.000000,0.000190,-3.686470,0.755040,-0.073729
2024-06-20 08:19:32.705,12.600,,0.734040,0.000000,0.000190,-3.558571,0.749990,-0.071171
2024-06-20 08:19:32.805,12.700,,0.729300,0.000000,0.000190,-3.477452,0.740016,-0.070342
2024-06-20 08:19:32.905,12.800,,0.724550,0.000000,0.000190,-3.477452,0.740016,-0.069549
2024-06-20 08:19:33.005,12.900,,0.718860,0.000191,0.000000,-3.450544,0.735067,-0.069011
2024-06-20 08:19:33.105,13.000,,0.718860,0.000191,0.000000,-3.323273,0.725005,-0.067445
2024-06-20 08:19:33.205,13.100,,0.709380,0.000000,-0.000190,-3.323273,0.725005,-0.066465
2024-06-20 08:19:33.305,13.200,,0.704640,0.000000,0.000381,-3.295727,0.719989,-0.065915
2024-06-20 08:19:33.405,13.300,,0.698950,0.000191,0.000190,-3.275599,0.715076,-0.065512
2024-06-20 08:19:33.505,13.400,,0.694210,0.000000,0.000000,-3.251199,0.710018,-0.065024
2024-06-20 08:19:33.605,13.500,,0.689460,0.000191,0.000381,-3.161194,0.705068,-0.063224
2024-06-20 08:19:33.705,13.600,,0.683770,0.000000,0.000190,-3.130915,0.700050,-0.062618
2024-06-20 08:19:33.805,13.700,,0.679030,0.000191,0.000381,-3.164153,0.695053,-0.063283
2024-06-20 08:19:33.905,13.800,,0.674290,0.000000,0.000000,-3.122891,0.690040,-0.062458
2024-06-20 08:19:34.005,13.900,,0.668600,0.000000,0.000381,-3.042441,0.684994,-0.060849
2024-06-20 08:19:34.105,14.000,,0.663860,0.000000,0.000381,-3.025831,0.679989,-0.060517
2024-06-20 08:19:34.205,14.100,,0.659120,0.000191,0.000381,-3.003937,0.670015,-0.060547
2024-06-20 08:19:34.305,14.200,,0.654370,0.000000,0.000190,-3.003937,0.670015,-0.060079
2024-06-20 08:19:34.405,14.300,,0.648680,0.000000,0.000381,-2.973069,0.665015,-0.059461
2024-06-20 08:19:34.505,14.400,,0.643940,0.000000,0.000381,-2.942905,0.659971,-0.058858
2024-06-20 08:19:34.605,14.500,,0.639200,0.000000,0.000000,-2.900915,0.655029,-0.058018
2024-06-20 08:19:34.705,14.600,,0.634460,0.000000,0.000571,-2.872260,0.649986,-0.057445
2024-06-20 08:19:34.805,14.700,,0.628770,0.000000,0.000000,-2.880800,0.644969,-0.057616
2024-06-20 08:19:34.905,14.800,,0.624030,0.000000,0.000381,-2.793026,0.639996,-0.055861
2024-06-20 08:19:35.005,14.900,,0.619280,0.000000,0.000381,-2.777766,0.635052,-0.055555
2024-06-20 08:19:35.105,15.000,,0.613590,0.000000,0.000000,-2.735736,0.629950,-0.054715
2024-06-20 08:19:35.205,15.100,,0.608850,0.000000,0.000381,-2.742227,0.625022,-0.054845
2024-06-20 08:19:35.305,15.200,,0.604110,0.000000,0.000381,-2.675141,0.619986,-0.053503
2024-06-20 08:19:35.405,15.300,,0.599370,0.000000,0.000000,-2.565261,0.615010,-0.051305
2024-06-20 08:19:35.505,15.400,,0.593680,0.000000,0.000000,-2.560149,0.609982,-0.051203
2024-06-20 08:19:35.605,15.500,,0.588940,0.000000,0.000190,-2.480017,0.599994,-0.050982
