Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-24 19:20:34,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-24 19:20:51.106,16.310,,0.543420,-0.000381,0.000190,-0.853546,0.559908,-0.017071
2024-06-24 19:20:51.205,16.409,,0.538670,-0.000572,0.000000,-0.858025,0.554914,-0.017161
2024-06-24 19:20:51.305,16.509,,0.533930,-0.000572,0.000381,-0.856739,0.544914,-0.016903
2024-06-24 19:20:51.405,16.609,,0.529190,-0.000191,0.000381,-0.856739,0.544914,-0.017135
2024-06-24 19:20:51.505,16.709,,0.524450,-0.000381,0.000381,-0.832936,0.539914,-0.016659
2024-06-24 19:20:51.605,16.809,,0.518760,-0.000381,0.000190,-0.855697,0.529893,-0.016843
2024-06-24 19:20:51.705,16.909,,0.514020,-0.000191,-0.000190,-0.855697,0.529893,-0.017114
2024-06-24 19:20:51.805,17.009,,0.509270,-0.000381,0.000381,-0.830434,0.524922,-0.016609
2024-06-24 19:20:51.905,17.109,,0.503580,-0.000381,0.000190,-0.830209,0.514923,-0.016871
2024-06-24 19:20:52.005,17.209,,0.498840,-0.000381,0.000190,-0.830209,0.514923,-0.016604
